id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,result_margin,eliminator,method,umpire1,umpire2,venue
267,2012,Mohali,2012-05-04,Punjab Kings,Mumbai Indians,Punjab Kings,bat,wickets,0,Mumbai Indians,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
268,2012,Kolkata,2012-05-22,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,3,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
269,2012,Jaipur,2012-04-11,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,runs,0,Lucknow Super Giants,29,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
270,2012,Chennai,2012-04-16,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Chennai Super Kings,6,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
271,2012,Hyderabad,2012-04-08,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,39,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
272,2012,Mohali,2012-04-22,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,19,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
273,2012,Kolkata,2012-05-04,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,21,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
274,2012,Jaipur,2012-03-09,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,65,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
275,2012,Chennai,2012-04-02,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,runs,0,Royal Challengers Bangalore,20,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
276,2012,Hyderabad,2012-03-22,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,bat,wickets,0,Sunrisers Hyderabad,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
277,2012,Mohali,2012-04-01,Punjab Kings,Mumbai Indians,Mumbai Indians,field,tie,0,Mumbai Indians,0,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
278,2012,Kolkata,2012-05-08,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,runs,0,Delhi Capitals,1,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
279,2012,Jaipur,2012-03-10,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,runs,0,Rajasthan Royals,38,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
280,2012,Chennai,2012-05-06,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Chennai Super Kings,5,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
281,2012,Hyderabad,2012-04-17,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,wickets,0,Gujarat Titans,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
282,2012,Mohali,2012-05-19,Punjab Kings,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
283,2012,Kolkata,2012-03-14,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,runs,0,Kolkata Knight Riders,33,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
284,2012,Jaipur,2012-04-26,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Rajasthan Royals,16,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
285,2012,Chennai,2012-04-04,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,0,Chennai Super Kings,8,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
286,2012,Hyderabad,2012-03-14,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,runs,0,Gujarat Titans,35,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
287,2012,Mohali,2012-04-08,Punjab Kings,Mumbai Indians,Punjab Kings,bat,wickets,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
288,2012,Kolkata,2012-04-12,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,48,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
289,2012,Jaipur,2012-04-20,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
290,2012,Chennai,2012-03-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,runs,0,Chennai Super Kings,6,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
291,2012,Hyderabad,2012-03-05,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,wickets,0,Gujarat Titans,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
292,2012,Mohali,2012-04-04,Punjab Kings,Mumbai Indians,Punjab Kings,field,runs,0,Mumbai Indians,45,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
293,2012,Kolkata,2012-03-13,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,56,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
294,2012,Jaipur,2012-04-13,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,wickets,0,Rajasthan Royals,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
295,2012,Chennai,2012-03-24,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
296,2012,Hyderabad,2012-04-15,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,wickets,0,Sunrisers Hyderabad,8,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
297,2012,Mohali,2012-04-13,Punjab Kings,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
298,2012,Kolkata,2012-04-21,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,runs,0,Delhi Capitals,19,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
299,2012,Jaipur,2012-04-26,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,runs,0,Lucknow Super Giants,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
300,2012,Chennai,2012-04-10,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,runs,0,Chennai Super Kings,39,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
301,2012,Hyderabad,2012-04-17,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,24,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
302,2012,Mohali,2012-04-21,Punjab Kings,Mumbai Indians,Mumbai Indians,field,runs,0,Punjab Kings,10,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
303,2012,Kolkata,2012-03-20,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,26,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
304,2012,Jaipur,2012-04-12,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,runs,0,Rajasthan Royals,72,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
305,2012,Chennai,2012-03-24,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,0,Royal Challengers Bangalore,14,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
306,2012,Hyderabad,2012-03-07,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,16,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
307,2012,Mohali,2012-04-10,Punjab Kings,Mumbai Indians,Punjab Kings,bat,wickets,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
308,2012,Kolkata,2012-03-05,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,2,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
309,2012,Jaipur,2012-03-22,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,wickets,0,Lucknow Super Giants,5,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
310,2012,Chennai,2012-04-04,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
311,2012,Hyderabad,2012-03-15,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,runs,0,Gujarat Titans,33,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
312,2012,Mohali,2012-04-03,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,wickets,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
313,2012,Kolkata,2012-04-02,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,runs,0,Kolkata Knight Riders,20,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
314,2012,Jaipur,2012-03-09,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
315,2012,Chennai,2012-04-12,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,wickets,0,Chennai Super Kings,8,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
316,2012,Hyderabad,2012-03-26,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,runs,0,Sunrisers Hyderabad,54,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
317,2012,Mohali,2012-04-07,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,16,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
318,2012,Kolkata,2012-03-03,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,14,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
319,2012,Jaipur,2012-03-28,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,wickets,0,Lucknow Super Giants,7,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
320,2012,Chennai,2012-03-02,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. A. Chidambaram Stadium, Chennai"
321,2012,Hyderabad,2012-04-14,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,runs,0,Gujarat Titans,56,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
322,2012,Mohali,2012-05-02,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,24,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
323,2012,Kolkata,2012-05-12,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,wickets,0,Delhi Capitals,4,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
324,2013,Bangalore,2013-04-26,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
325,2013,Hyderabad,2013-03-09,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
326,2013,Jaipur,2013-05-13,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,wickets,0,Mumbai Indians,8,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
327,2013,Mohali,2013-03-26,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,runs,0,Punjab Kings,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
328,2013,Kolkata,2013-05-08,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,8,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
329,2013,Bangalore,2013-04-14,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,36,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
330,2013,Hyderabad,2013-04-20,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,runs,0,Sunrisers Hyderabad,15,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
331,2013,Jaipur,2013-05-06,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,runs,0,Rajasthan Royals,10,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
332,2013,Mohali,2013-05-17,Punjab Kings,Chennai Super Kings,Punjab Kings,field,wickets,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
333,2013,Kolkata,2013-03-27,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,2,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
334,2013,Bangalore,2013-05-16,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
335,2013,Hyderabad,2013-05-17,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,5,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
336,2013,Jaipur,2013-03-03,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,wickets,0,Rajasthan Royals,8,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
337,2013,Mohali,2013-03-06,Punjab Kings,Chennai Super Kings,Punjab Kings,field,wickets,0,Punjab Kings,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
338,2013,Kolkata,2013-04-09,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,14,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
339,2013,Bangalore,2013-04-07,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,8,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
340,2013,Hyderabad,2013-03-18,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
341,2013,Jaipur,2013-04-19,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,runs,0,Mumbai Indians,40,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
342,2013,Mohali,2013-05-24,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Punjab Kings,6,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
343,2013,Kolkata,2013-04-19,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,6,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
344,2013,Bangalore,2013-03-02,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,6,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
345,2013,Hyderabad,2013-04-01,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,27,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
346,2013,Jaipur,2013-03-10,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,runs,0,Rajasthan Royals,46,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
347,2013,Mohali,2013-05-12,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,runs,0,Punjab Kings,36,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
348,2013,Kolkata,2013-03-13,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,21,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
349,2013,Bangalore,2013-04-13,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
350,2013,Hyderabad,2013-03-24,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,runs,0,Delhi Capitals,35,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
351,2013,Jaipur,2013-04-05,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,wickets,0,Mumbai Indians,10,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
352,2013,Mohali,2013-04-02,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,runs,0,Punjab Kings,1,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
353,2013,Kolkata,2013-04-15,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,27,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
354,2013,Bangalore,2013-05-07,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,22,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
355,2013,Hyderabad,2013-03-02,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,wickets,0,Delhi Capitals,6,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
356,2013,Jaipur,2013-05-21,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,wickets,0,Rajasthan Royals,3,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
357,2013,Mohali,2013-04-02,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,runs,0,Punjab Kings,13,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
358,2013,Kolkata,2013-05-06,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,7,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
359,2013,Bangalore,2013-04-07,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,4,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
360,2013,Hyderabad,2013-05-15,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,runs,0,Delhi Capitals,13,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
361,2013,Jaipur,2013-03-13,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,runs,0,Mumbai Indians,22,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
362,2013,Mohali,2013-03-07,Punjab Kings,Chennai Super Kings,Punjab Kings,field,runs,0,Chennai Super Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
363,2013,Kolkata,2013-05-06,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,4,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
364,2013,Bangalore,2013-05-05,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,runs,0,Royal Challengers Bangalore,17,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
365,2013,Hyderabad,2013-03-06,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,wickets,0,Sunrisers Hyderabad,4,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
366,2013,Jaipur,2013-03-01,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,14,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
367,2013,Mohali,2013-05-25,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
368,2013,Kolkata,2013-04-12,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,wickets,0,Kolkata Knight Riders,7,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
369,2013,Bangalore,2013-05-08,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,wickets,0,Lucknow Super Giants,7,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
370,2013,Hyderabad,2013-04-07,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,2,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
371,2013,Jaipur,2013-03-19,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,wickets,0,Rajasthan Royals,3,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
372,2013,Mohali,2013-03-05,Punjab Kings,Chennai Super Kings,Punjab Kings,field,wickets,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
373,2013,Kolkata,2013-05-22,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,wickets,0,Gujarat Titans,9,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
374,2013,Bangalore,2013-05-16,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,runs,0,Lucknow Super Giants,2,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
375,2013,Hyderabad,2013-05-22,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,wickets,0,Delhi Capitals,5,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
376,2013,Jaipur,2013-03-05,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
377,2013,Mohali,2013-03-02,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,runs,0,Punjab Kings,7,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
378,2013,Kolkata,2013-03-07,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,runs,0,Gujarat Titans,16,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
379,2013,Bangalore,2013-05-06,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,32,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
380,2013,Hyderabad,2013-03-05,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,wickets,0,Delhi Capitals,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
381,2013,Jaipur,2013-05-11,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,runs,0,Rajasthan Royals,3,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
382,2013,Mohali,2013-05-19,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,runs,0,Punjab Kings,28,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
383,2013,Kolkata,2013-05-21,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,4,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
384,2013,Bangalore,2013-04-23,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,6,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
385,2013,Hyderabad,2013-05-09,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,23,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
386,2013,Jaipur,2013-04-22,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,3,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
387,2013,Mohali,2013-03-26,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,wickets,0,Chennai Super Kings,8,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
388,2013,Kolkata,2013-04-11,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,5,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
389,2013,Bangalore,2013-05-10,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,7,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
390,2013,Hyderabad,2013-05-10,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,27,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
391,2013,Jaipur,2013-04-13,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,wickets,0,Rajasthan Royals,6,N,,Umpire A,Umpire B,"Sawai Mansingh Stadium, Jaipur"
392,2013,Mohali,2013-04-28,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,runs,0,Punjab Kings,32,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
393,2013,Kolkata,2013-03-06,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,runs,0,Kolkata Knight Riders,16,N,,Umpire A,Umpire B,"Eden Gardens, Kolkata"
394,2013,Bangalore,2013-03-06,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Royal Challengers Bangalore,37,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
395,2013,Hyderabad,2013-04-24,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,wickets,0,Delhi Capitals,3,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
